Число посещенных вершин дерева решений(1 столбец)
	Число примеров(2 столбец)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	21905
66	823
67	1118
68	882
69	941
70	943
71	840
72	788
73	736
74	729
75	671
76	667
77	545
78	497
79	545
80	459
81	442
82	450
83	421
84	407
85	389
86	366
87	368
88	348
89	294
90	318
91	269
92	262
93	290
94	262
95	246
96	211
97	221
98	208
99	196
100	206
101	193
102	179
103	163
104	165
105	149
106	149
107	134
108	141
109	146
110	119
111	137
112	120
113	117
114	121
115	116
116	99
117	108
118	107
119	119
120	105
121	102
122	91
123	88
124	99
125	93
126	98
127	103
128	70
129	64
130	75
131	78
132	68
133	89
134	86
135	85
136	58
137	68
138	72
139	50
140	77
141	70
142	62
143	47
144	64
145	68
146	54
147	60
148	44
149	64
150	52
151	49
152	52
153	45
154	47
155	60
156	49
157	47
158	56
159	42
160	44
161	42
162	51
163	35
164	44
165	43
166	43
167	41
168	41
169	28
170	37
171	43
172	32
173	26
174	27
175	26
176	36
177	23
178	27
179	42
180	35
181	34
182	31
183	23
184	23
185	27
186	30
187	24
188	22
189	25
190	46
191	23
192	33
193	23
194	24
195	27
196	30
197	28
198	25
199	20
200	26
201	22
202	23
203	23
204	20
205	15
206	20
207	22
208	20
209	17
210	24
211	15
212	19
213	17
214	16
215	23
216	25
217	22
218	18
219	16
220	16
221	22
222	32
223	23
224	20
225	22
226	21
227	20
228	18
229	15
230	15
231	16
232	10
233	19
234	14
235	10
236	17
237	17
238	19
239	13
240	16
241	12
242	8
243	20
244	8
245	20
246	14
247	11
248	18
249	8
250	18
251	13
252	15
253	9
254	9
255	17
256	12
257	10
258	9
259	10
260	16
261	10
262	15
263	16
264	14
265	17
266	13
267	18
268	12
269	6
270	12
271	9
272	8
273	3
274	16
275	8
276	6
277	9
278	9
279	14
280	9
281	13
282	7
283	16
284	11
285	6
286	8
287	12
288	7
289	12
290	7
291	3
292	11
293	4
294	6
295	12
296	8
297	7
298	9
299	8
300	10
301	4
302	8
303	9
304	6
305	11
306	7
307	10
308	6
309	11
310	9
311	5
312	9
313	13
314	7
315	10
316	6
317	4
318	6
319	5
320	9
321	8
322	5
323	7
324	10
325	6
326	9
327	9
328	3
329	9
330	10
331	7
332	4
333	9
334	5
335	7
336	5
337	5
338	5
339	7
340	2
341	7
342	9
343	5
344	11
345	6
346	5
347	4
348	5
349	5
350	6
351	3
352	5
353	3
354	6
355	4
356	2
357	3
358	7
359	8
360	2
361	5
362	8
363	8
364	5
365	5
366	7
367	3
368	5
369	8
370	5
371	5
372	2
373	6
374	6
375	2
376	6
377	1
378	5
379	7
380	3
381	8
382	6
383	7
384	2
385	7
386	6
387	7
388	5
389	7
390	2
391	2
392	2
393	1
394	4
395	5
396	3
397	4
398	3
399	3
400	6
401	6
402	5
403	6
404	5
405	7
406	5
407	3
408	7
409	4
410	5
411	2
412	4
413	2
414	10
415	3
416	5
417	2
418	7
419	3
420	4
421	6
422	5
423	4
424	5
425	2
426	2
427	6
428	4
429	5
430	3
431	2
432	4
433	5
434	3
435	1
436	4
437	5
438	6
439	2
440	4
441	1
442	4
443	4
444	4
445	5
446	5
447	4
448	1
449	4
450	1
451	1
452	3
453	5
454	3
455	4
456	3
457	6
458	4
459	2
460	3
461	1
462	1
463	1
464	1
465	3
466	3
467	0
468	3
469	1
470	2
471	2
472	3
473	5
474	4
475	3
476	2
477	0
478	4
479	0
480	4
481	2
482	2
483	1
484	2
485	3
486	3
487	1
488	2
489	2
490	2
491	3
492	2
493	1
494	4
495	2
496	3
497	1
498	3
499	6
500	2
501	2
502	3
503	1
504	5
505	2
506	4
507	5
508	2
509	2
510	4
511	5
512	2
513	0
514	2
515	2
516	4
517	0
518	2
519	5
520	6
521	2
522	3
523	5
